Year;//?province;Season;Pollution source;???action plan;Land use;Monitoring station;Pm2.5;What is pm10 level?;What is so2 level?;No2;??co //;O3
2004; Izmir;WINTER;RESIDENTIAL;NOT IMPLEMENTED;nabrU;D noitatS;156.7876498;43.53975293;62.90771649;73.28755903;0.723084695;44.32297551
2004;Izmir ; Spring;laitnediseR;Not Implemented!!;Suburban ;A noitatS;91.06841189;52.87627078;5.802346563;NA ;8.800923345;30.65555428
2004;IZMIR;SUMMER;NaturaL;NOT IMPLEMENTED; Urban;Station B!!;23.43102118;50.24164848;20.30370777;27.16771206;4.826758428;24.64952551
2004;IzmiR;Autumn ;RESIDENTIAL;Not ImplementeD;Urban ;Station C;66.99356903;160.5825558;83.4620889;72.20007347;2.065336783;67.13219238
2004;Aydin ;retniW;lairtsudnI;not implemented;nabrubuS;B noitatS;33.98969107;50.06362496;77.14329892;62.0771187;4.737766247;44.54061795
2004; Aydin;gnirpS;TRAFFIC;Not Implemented!!;Urban!!; Station B;106.5504439;22.66536767;36.36298376;66.84518083;9.034845224;22.06763246
2004;AYDIN;NA; Residential; Not Implemented;laruR;Station D!!;115.0358795;199.7265533;38.92744152;NA;0.406608974;70.46536274
2004;Aydin!!;AutumN;Traffic ;Implemented ;laruR;STATION A;20.34049544;14.71527017;54.28833449;53.40310081;2.821467017;58.68186689
2004;Denizli ;retniW;TRAFFIC;detnemelpmI toN;Urban!!;station c;94.06833437;185.5660086;2.023618459;150.2319279;0.637078133;86.57384522
2004;Denizli ;SPRING; Traffic;IMPLEMENTED;Suburban!!;STATION B;123.1206331;79.41969989;25.64194493;73.91691455;4.261320353;16.16021039
2004; Denizli;AN;Residential!!;not implemented;Rural!!;;140.743641;169.9069374;22.40671724;97.8599626;8.961490288;79.63832718
2004;ilzineD;autumn;laitnediseR;Not Implemented ;Suburban!!;station a;79.46009068;115.3778933;26.54732878;17.57592886;9.828258874;68.98409475
NA; Manisa;WINTER;;detnemelpmI;Rural!!;STATION B;171.3485849;199.440927;80.97877257;50.68849869;;15.926039
2004;Manisa ;SPRING;industrial;Not Implemented ;nabrU; Station A;82.67490072;185.9766674;-29.40803794;56.85873137;2.550319753;71.00796934
2004;MANISA;Summer!!;TraffiC;detnemelpmI;SUBURBAN;station b;62.15762172;11.72865444;20.76908956;70.49047464;9.067908961;46.94699244
2004;asinaM;nmutuA;industrial; Not Implemented;SUBURBAN;station b;;24.32831344;51.41781916;104.0280548;5.21085345;94.77355463
AN; Mugla;retniW;ciffarT;Implemented!!;suburban;Station B ;91.77899162;63.32497448;86.83321356;14.00889504;1.62211819;18.45307831
2004;MuglA;SPRING;Natural ;Not Implemented ;RURAL;station c;73.42586403;137.1699291;NA;13.34610178;9.225094028;NA
2004; Mugla;summer;TRAFFIC;Implemented ; NA;station b;76.09531096;178.7717173;9.696551794;102.7865364;7.598943602;41.28810432
2004;Mugla ;autumn;Traffic ;Implemented ;RURAL;Station D ;127.7838253;97.38897075;36.92766411;29.47775989;7.3438822;95.89739371
2004;Usak ; Winter;residential;Not Implemented!!;nabrU;A noitatS;150.7578283;137.8573813;75.26987881;106.4786115;10.68133345;36.34761505
2004;Usak!!;spring;IndustriaL;not implemented;Rural!!;C noitatS;63.5103989;45.81497203;55.96767338;67.43098522;2.083364229;96.4076614
2004; Usak;remmuS; Natural;detnemelpmI;Urban!!;Station A ;53.32847968;162.9436984;82.04575022;131.0175924;3.283449372;90.64115585
2004;Usak ;AutumN;IndustriaL; Not Implemented;SuburbaN;Station C!!;76.32956349;193.7923412; NA;19.38522463;6.914100684;30.68640735
2005;IzmiR;Winter!!;AN;Implemented ;SuburbaN;station d;105.6624167;;79.68092272;19.92504106;2.275255226;81.3364688
2005;izmir;SPRING;ciffarT;Not ImplementeD;UrbaN;station c;39.55889554;104.0169308;61.17270173;89.74434486;6.664274698;99.58239917
2005;rimzI;Summer ;Residential ;Implemented!!;laruR;Station C ;120.1234873;na;50.34747563;113.8335451;7.841818073;29.00298521
AN;izmir;Autumn!!; Residential;not implemented; Urban;Station C ;75.54000103;116.2359647;5.926770462;68.54216488;11.79169489;46.49383109
2005;nidyA;WinteR;Industrial ;detnemelpmI;SUBURBAN;Station A!!;64.12392543;116.0817393;98.46355392;42.59834153;4.587291548;54.41716997
2005;AydiN;Spring ;RESIDENTIAL;Not Implemented!!;nabrubuS; Station B;20.48904398;37.44293199;39.58115001;74.76927217;7.942680389;33.0184579
2005; Aydin;Summer!!;Industrial!!; Implemented;urban;A noitatS;39.63254826;-93.99258049;16.91836496;145.6020658;NA;6.450159766
2005;Aydin!!;autumn; Industrial; Implemented;Rural!!;STATION B;142.6457699;73.4798839;67.33746783;101.2467008;6.582279938;25.9122782
2005;Denizli ;retniW;Natural!!;detnemelpmI toN;RuraL; Station A;59.08734551;120.0626529;NA!!;119.4806152;;31.78400401
2005;Denizli ;SprinG;IndustriaL;Not Implemented ;Urban ;Station D;29.48459696;121.2743237;59.40627055;9.874003189;4.219074939;47.14197163
2005;Denizli ;Summer ;NATURAL; Implemented;urban;D noitatS;71.79755479;11.61415994;59.50325497;23.37229263;4.825391158;21.25473545
2005; Denizli;AutumN;Residential!!;implemented;RuraL;station c;49.52772279;154.5911368;45.68152245;75.08879279;1.256360667;87.95916389
NA;AN;Winter!!;;Implemented!!; Suburban;Station D;12.11770955;NA;83.93962432;99.36629052;2.804280242;71.96655761
2005;ManisA;gnirpS;industrial;implemented;urban; Station C;51.85605651;79.59441338;27.96677203;49.14402917;3.261360481;13.09404537
2005;Manisa ;SummeR;TraffiC;Not Implemented ;laruR;Station B ;83.89575047;20.05782776;45.96599398;32.50927512;4.607754623;66.75878286
2005;manisa;Autumn ;Industrial!!;implemented;RURAL;Station D!!;84.99829394;153.4371826;54.6938286;95.50221693;9.093531724;67.09736526
2005;Mugla ;WINTER;INDUSTRIAL;implemented;Suburban!!;B noitatS;68.04125228;210.6316085;67.03522264;11.48391319;1.134355136;95.8410115
2005; NA;NA!!;Traffic!!;IMPLEMENTED; NA;Station A!!;69.85889966;55.62880324;78.82924135;47.47900447;7.230652447;5.286982779
2005;MuglA;SUMMER;ciffarT;not implemented; Suburban;Station B;145.0000981;71.46967661;40.69111372;63.1680606;;28.55358273
2005;Mugla!!;autumn;Residential ;detnemelpmI;Suburban ;A noitatS;59.7155292;44.924449;65.31260052;69.44009755;1.047966567;93.14019054
2005;UsaK;WINTER;industrial;NA!!;suburban; Station B;50.93146551;131.5796498;16.7598734;88.79074303;9.233466809;93.55272196
2005;usak;SPRING;laitnediseR;NOT IMPLEMENTED;Urban ;station b;40.30272139;39.41986498;93.39951385;59.54943565;8.591812202;73.45570984
2005;NA ; Summer;laitnediseR;Not Implemented!!;RURAL;STATION D;71.37586884;77.67684926;39.53976303;75.45869964;3.700882659;77.7475155
NA ;Usak ;Autumn!!;TRAFFIC;Not Implemented!!;UrbaN;Station B!!;115.1304216;142.4324726;73.49309935;94.01362571;11.38459796;13.690881
2006;IZMIR;na;Natural ;Not Implemented ;URBAN;Station D!!;41.84194405;128.0642404;3.993426024;88.36860705;3.971877057;53.8182043
2006;rimzI;SPRING;Residential ;Not Implemented ;UrbaN;STATION D;107.8479384;83.42788722;22.10834;102.2522523;10.44862108;27.00038417
2006;izmir;remmuS; Natural;NOT IMPLEMENTED;Urban ;Station C!!;8.066724386;89.84742434;49.73408934;45.28765107;0.739711432;22.21571414
2006;IZMIR;Autumn ;IndustriaL; Implemented;Urban!!;Station C!!;65.74528181;116.8010677;NA;;12.61520936;81.97881342
2006;AydiN;WINTER;traffic;ImplementeD;NA;A noitatS; NA;12.22572813;53.6710047;18.71624228;4.536891386;17.82862298
2006;Aydin!!;spring;IndustriaL;Not Implemented ;Suburban ;B noitatS; NA;24.91687501;93.12730726;30.82697401;6.403259852;49.52190551
2006;nidyA;SUMMER;INDUSTRIAL;ImplementeD;rural;STATION A;86.74187971;177.4390329;49.41209587;62.52276259;2.290254416;94.16493276
2006;aydin;Autumn ;traffic;Implemented ;Urban ;Station B;34.72198876;24.79700793;50.06401148;132.1461912;10.20454463;22.65404528
2006;Denizli ;na; Industrial;Not Implemented ;Rural ;station c;135.1071981;158.7219516;13.73518527;85.64873434;7.745178731;97.90937526
2006;DenizlI;Spring!!;Traffic!!;Implemented!!;nabrubuS; Station C;12.58046997;184.8072512;80.66031193;95.73966948;4.78481055;99.45735865
2006;na;summer;larutaN;NOT IMPLEMENTED;SUBURBAN; Station B;128.6186835;61.42988482;26.20261042;45.36219675;6.215496548;57.78362969
2006;Denizli ;Autumn!!;industrial;Implemented!!;Suburban!!;Station B;33.73847603;80.39337304;90.16202396;51.53518029;4.617626646;21.16356032
2006;asinaM;winter;TraffiC;detnemelpmI toN;Urban!!;Station C!!;158.1452575;129.9045738;91.26077359;65.35544196;13.42725683;35.02996435
2006;NA ;SprinG;laitnediseR;Not Implemented!!;nabrU;station c;NA ;177.5247042;94.44439096;35.18504107;7.543357331;45.3268191
2006;Manisa!!;Summer ;INDUSTRIAL;ImplementeD;SuburbaN;NA;109.7891183;;52.98258793;12.03991569;8.433906219;34.38580131
2006;ManisA;Autumn ;NaturaL;ImplementeD; Rural;Station C;51.28766818;150.5170171;68.35519091;72.95535068;8.033385377;31.66038009
2006; Mugla;winter;Traffic!!;detnemelpmI toN;RuraL;STATION B;163.6286308;29.10353002;78.29455625;118.7599186;4.163997731;97.36182238
2006;Mugla ;SprinG;INDUSTRIAL;not implemented;Suburban!!;A noitatS;23.3623832;137.1392896;14.83943263;24.18541607;2.377836469;19.5696586
2006;Mugla!!;SUMMER;Industrial!!;not implemented;Rural ;Station B!!;30.88536944;87.95770716;60.89380511;10.36875429;4.120213112;74.66615133
2006; Mugla;Autumn ;Industrial!!;detnemelpmI;nabrubuS;Station D ;76.48936815;99.4331899;5.361194328;94.64614341;8.27955202;5.038977497
2006;UsaK;Winter!!;larutaN;detnemelpmI;rural;STATION A;20.25728839;21.27201358;AN;34.04739077;2.353562105;61.63735359
